service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
trust,http3,10,10s,33.921,308.25579999999985,,96.5534358523726,1459.429,55.978597876807534,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-114653/trust/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-114653/trust/http3/vus-10.log
trust,http2,10,10s,24.866500000000002,227.16709999999998,,66.60546198830406,557.904,67.52361771799984,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-114653/trust/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-114653/trust/http2/vus-10.log
trust,http1,10,10s,23.76,180.056,,53.461948783610715,821.199,73.04782266046344,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-114653/trust/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-114653/trust/http1/vus-10.log
