test_name,status,duration_sec
baseline_healthy,PASS,2.000
tls_drift_detection,PASS,1.000
simulated_advert_drift_detect,PASS,3.000
auto_remediate,PASS,416.000
metallb_external_svc_churn,PASS,428.000
broker_pod_restart_resilience,PASS,1292.000
full_cluster_rollout_resilience,PASS,388.000
