service,baseline_vus,http3_p95_ms,http3_rps,http3_fail_rate,http3_collapse,http3_first_collapse_vus,http2_p95_ms,http2_rps,http2_fail_rate,http2_collapse,http2_first_collapse_vus,http1_p95_ms,http1_rps,http1_fail_rate,http1_collapse,http1_first_collapse_vus,best_protocol_by_p95_at_baseline,off_signal,off_reason
analytics,10,784.9915999999995,23.021689689630723,0.0036101083032490976,0,30,403.57455,58.891181912730325,0,0,30,132.17784999999998,83.2281362082193,0.31387445021991206,1,10,http2,1,http1:collapse@baseline|http1:fail>=1%
auth,10,196.91949999999997,77.05221202671864,0,0,,86.82584999999999,108.90502868886736,0,0,40,91.29399999999995,114.47498949563777,0,0,60,http2,0,
booking,10,693.0973,33.72777736586291,0.0004921259842519685,0,40,473.8340999999997,51.746525468132766,0,0,50,234.90449999999979,74.0117873404831,0,0,60,http1,0,
event-layer,10,92.0751,112.47731358045992,0,0,40,110.05019999999998,98.84889389519118,0,0,,58.79949999999997,115.9006897421702,0,0,60,http1,0,
gateway,10,,1,k6 exited 2,1,10,191.73059999999964,94.79323078758256,0,0,,108.24974999999996,114.63602454389925,0,0,,http3,1,http3:collapse@baseline
listings,10,394.5397999999999,44.345648588640245,0,0,60,340.8184999999999,53.33215686594923,0,0,30,366.2563999999999,61.135818716352645,0,0,40,http2,0,
media,10,30.323,14.987317003778168,0,0,30,22.814,14.988055717306972,0,0,30,27.59109999999999,14.972421299047864,0,0,30,http2,0,
messaging,10,449.5679999999975,17.150094449445955,0.002909796314258002,0,40,606.8515499999992,19.73596534470807,0.0025252525252525255,0,30,596.3514999999983,19.76318048880256,0.0008424599831508003,0,30,http3,0,
trust,10,278.6637,60.8911725140276,0.00027329871549603714,0,50,1142.9097499999993,22.675020657757198,0.0021961932650073207,1,10,447.9763999999999,43.671568047365334,0,0,20,http3,1,http2:collapse@baseline|http2:p95>=1000
