service,protocol,http_code,time_total_ms
auth,HTTP2,200,259
auth,HTTP3,200,93
listings,HTTP2,200,529
listings,HTTP3,200,531
booking,HTTP2,200,126
booking,HTTP3,200,284
messaging,HTTP2,200,69
messaging,HTTP3,200,93
notification,HTTP2,200,265
notification,HTTP3,200,199
trust,HTTP2,200,68
trust,HTTP3,200,100
analytics,HTTP2,200,101
analytics,HTTP3,200,148
media,HTTP2,200,111
media,HTTP3,200,285
gateway,HTTP2,200,39
gateway,HTTP3,200,45
