service,baseline_vus,http3_p95_ms,http3_rps,http3_fail_rate,http3_collapse,http3_first_collapse_vus,http2_p95_ms,http2_rps,http2_fail_rate,http2_collapse,http2_first_collapse_vus,http1_p95_ms,http1_rps,http1_fail_rate,http1_collapse,http1_first_collapse_vus,best_protocol_by_p95_at_baseline,off_signal,off_reason
analytics,10,416.4172999999998,10.829219735353865,0,0,40,252.02499999999998,67.11327937376834,0,0,40,132.186,80.9030343098268,0,0,60,http1,0,
auth,10,173.94639999999993,91.27542510069533,0,0,,53.92424999999997,130.25832453332134,0,0,40,162.02609999999936,4.8804186597885835,0.0009932952570151478,0,20,http2,0,
booking,10,150.63579999999996,98.77577270704779,0,0,40,151.13230000000001,32.45333678946039,0,0,60,148.79219999999995,101.6538033116961,0,0,40,http1,0,
event-layer,10,105.31324999999995,111.64292908692866,0,0,50,93.68874999999984,113.78868515676206,0,0,20,1534.2612999999963,1.6481548085400235,0,1,10,http2,1,http1:collapse@baseline|http1:p95>=1000
gateway,10,,1,k6 exited 2,1,10,642.5482999999998,4.664477214153953,0,0,,27.744199999999992,170.50062440296057,0,0,50,http3,1,http3:collapse@baseline
listings,10,164.95139999999984,94.87029333495245,0,0,50,296.1694999999998,53.32123545186302,0.003425724073497353,0,50,114.78579999999994,122.2017322511765,0,0,20,http1,0,
media,10,68.972,14.984539314890897,0,0,30,63.46569999999995,14.985441892958356,0,0,30,9693.190799999998,12.275877170138145,0,1,10,http2,1,http1:collapse@baseline|http1:p95>=1000
messaging,10,151.6364999999995,19.825593372851795,0,0,30,30.143,19.97854992424204,0,0,30,54.71465,19.962555901186878,0,0,30,http2,0,
trust,10,297.65674999999993,66.1638414406837,0.00025150905432595576,0,50,310.9425,59.34309424611955,0,0,30,203.46609999999978,62.47413830289752,0.6822056473095365,1,10,http3,1,http1:collapse@baseline|http1:fail>=1%
