service,baseline_vus,http3_p95_ms,http3_rps,http3_fail_rate,http3_collapse,http3_first_collapse_vus,http2_p95_ms,http2_rps,http2_fail_rate,http2_collapse,http2_first_collapse_vus,http1_p95_ms,http1_rps,http1_fail_rate,http1_collapse,http1_first_collapse_vus,best_protocol_by_p95_at_baseline,off_signal,off_reason
analytics,5,141.28459999999973,39.779239706001945,0,0,30,171.22484999999992,39.07623448822856,0,0,30,202.41199999999992,30.80723973537896,0,0,20,http3,0,
media,5,88.74449999999993,14.938720056121676,0,0,15,48.899899999999946,14.964607122800098,0.0011123470522803114,0,15,202.59429999999998,14.88476538940467,0.0011173184357541898,0,15,http2,0,
messaging,5,469.07904999999977,19.296154467712668,0,0,15,92.08094999999999,19.874248935654073,0,0,15,38.574,19.980112052660722,0,0,15,http1,0,
