service,baseline_vus,http3_p95_ms,http3_rps,http3_fail_rate,http3_collapse,http3_first_collapse_vus,http2_p95_ms,http2_rps,http2_fail_rate,http2_collapse,http2_first_collapse_vus,http1_p95_ms,http1_rps,http1_fail_rate,http1_collapse,http1_first_collapse_vus,best_protocol_by_p95_at_baseline,off_signal,off_reason
analytics,10,406.191,38.01464553817948,0,0,,527.914,42.20913218024237,0,0,,268.49,52.880483978004094,0,0,,http1,0,
auth,10,12339.672799999998,9.39666732671136,0.01818181818181818,1,10,6.566899999999999,187.95695169227886,1,1,10,5.847399999999989,152.19600576341543,0.9784507862550961,1,10,http3,1,http3:collapse@baseline|http3:p95>=1000|http3:fail>=1%|http2:collapse@baseline|http2:fail>=1%|http1:collapse@baseline|http1:fail>=1%
booking,10,526.2867999999999,32.69546137516335,0,0,,683.997,36.84342549862886,0,0,,365.66209999999995,44.559697677173624,0,0,,http1,0,
event-layer,10,244.21439999999993,69.15186720939325,0,0,,189.3765999999999,64.80577817448574,0,0,,810.3155999999999,51.86709968450895,0,0,,http2,0,
gateway,10,19.103187,170.612087766994,0,0,,21.341,171.46918285064922,0,0,,111.1509999999999,132.52447271987214,0,0,,http3,0,
listings,10,1736.3615499999996,21.195671606149556,0,1,10,615.9047499999999,31.43047213196942,0,0,,1027.5119999999997,30.441238361398383,0,1,10,http2,1,http3:collapse@baseline|http3:p95>=1000|http1:collapse@baseline|http1:p95>=1000
media,10,996.8701999999978,12.634295566371303,0,0,,34.72249999999999,14.921699124985635,0,0,,545.2853999999996,14.708955671057604,0,0,,http2,0,
messaging,10,2703.2302,14.723219872274806,0.011428571428571429,1,10,360.79924999999815,19.375768110807247,0,0,,171.349,19.462974885693754,0,0,,http1,1,http3:collapse@baseline|http3:p95>=1000|http3:fail>=1%
trust,10,649.316099999999,33.515538653822496,0,0,,573.771,34.37943349392174,0,0,,669.7718999999998,36.85400233492956,0,0,,http2,0,
