service,protocol,vus,p95_ms,rps,fail_rate,collapse,reason,severity,why
auth,http3,10,12339.672799999998,9.39666732671136,0.01818181818181818,1,p95>=1000|fail_rate>=0.01,medium,p95>=1000|fail_rate>=0.01
auth,http2,10,6.566899999999999,187.95695169227886,1,1,fail_rate>=0.01,high,fail_rate>=0.01
auth,http1,10,5.847399999999989,152.19600576341543,0.9784507862550961,1,fail_rate>=0.01,high,fail_rate>=0.01
listings,http3,10,1736.3615499999996,21.195671606149556,0,1,p95>=1000,medium,p95>=1000
listings,http1,10,1027.5119999999997,30.441238361398383,0,1,p95>=1000,medium,p95>=1000
messaging,http3,10,2703.2302,14.723219872274806,0.011428571428571429,1,p95>=1000|fail_rate>=0.01,medium,p95>=1000|fail_rate>=0.01
