service,protocol,http_code,time_total_ms
auth,HTTP2,200,159
auth,HTTP3,200,69
listings,HTTP2,200,239
listings,HTTP3,200,500
booking,HTTP2,200,1386
booking,HTTP3,200,117
messaging,HTTP2,200,141
messaging,HTTP3,200,87
notification,HTTP2,200,26
notification,HTTP3,200,47
trust,HTTP2,200,617
trust,HTTP3,200,187
analytics,HTTP2,200,48
analytics,HTTP3,200,47
media,HTTP2,200,48
media,HTTP3,200,18
gateway,HTTP2,200,9
gateway,HTTP3,200,31
