service,protocol,http_code,time_total_ms
auth,HTTP2,200,452
auth,HTTP3,200,56
listings,HTTP2,200,476
listings,HTTP3,200,1115
booking,HTTP2,200,701
booking,HTTP3,200,329
messaging,HTTP2,200,2578
messaging,HTTP3,200,230
notification,HTTP2,200,586
notification,HTTP3,200,97
trust,HTTP2,200,92
trust,HTTP3,200,160
analytics,HTTP2,200,230
analytics,HTTP3,200,203
media,HTTP2,200,163
media,HTTP3,200,85
gateway,HTTP2,200,22
gateway,HTTP3,200,95
