service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
trust,http3,10,10s,251.9265,1655.439649999999,,396.27591228070224,3430.543,20.0711310320021,0,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/trust/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/trust/http3/vus-10.log
trust,http2,10,10s,557.8710000000001,1891.1529499999992,,660.1777499999995,2294.245,12.809428910826155,0,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/trust/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/trust/http2/vus-10.log
trust,http1,10,10s,566.6935000000001,1305.2913499999995,,639.8610915492961,1750.721,13.529800003830267,0,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/trust/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/trust/http1/vus-10.log
messaging,http3,10,10s,24.342,424.3689999999999,,96.05090862944162,599.511,19.535915888857897,0,0,,3,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/messaging/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/messaging/http3/vus-10.log
messaging,http2,10,10s,15.435500000000001,121.20369999999996,,32.55944500000001,196.697,19.882913498987165,0,0,,3,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/messaging/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/messaging/http2/vus-10.log
messaging,http1,10,10s,13.379,56.881,,20.0347512437811,139.248,19.877890415860303,0,0,,3,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/messaging/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/messaging/http1/vus-10.log
listings,http3,10,10s,,,,,,1,k6 exited 107,1,no_metrics,2,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/listings/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/listings/http3/vus-10.log
listings,http2,10,10s,356.74,4193.9000999999935,,670.1757999999999,5180.909,13.62559057202565,0.05,1,p95>=1000|fail_rate>=0.01,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/listings/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/listings/http2/vus-10.log
listings,http1,10,10s,172.0035,621.7252499999998,,230.7546573033707,767.826,35.329976522436674,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/listings/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/listings/http1/vus-10.log
booking,http3,10,10s,,,,,,1,k6 exited 107,1,no_metrics,2,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/booking/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/booking/http3/vus-10.log
booking,http2,10,10s,151.318,5115.500050000001,,802.107525423729,5134.094,11.579698551006805,0.0847457627118644,1,p95>=1000|fail_rate>=0.01,5,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/booking/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/booking/http2/vus-10.log
booking,http1,10,10s,135.361,439.0693,,164.45733891213396,823.056,45.186020352804505,0,0,,5,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/booking/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/booking/http1/vus-10.log
auth,http3,10,10s,,,,,,1,k6 exited 107,1,no_metrics,7,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/auth/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/auth/http3/vus-10.log
auth,http2,10,10s,144.602,395.0862499999999,,190.90481730769233,1121.229,41.032690231398725,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/auth/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/auth/http2/vus-10.log
auth,http1,10,10s,146.245,407.0269999999998,,174.4530134831461,571.934,44.114619099012934,0,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/auth/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/auth/http1/vus-10.log
gateway,http3,10,10s,,,,,,29.87709254752209,0,1,ok,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/gateway/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/gateway/http3/vus-10.log
gateway,http2,10,10s,25.335,189.21119999999993,,54.30639936775558,1754.585,94.403494262277,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/gateway/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/gateway/http2/vus-10.log
gateway,http1,10,10s,85.527,365.352,,122.07798623063675,834.427,56.38351113224981,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/gateway/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/gateway/http1/vus-10.log
analytics,http3,10,10s,,,,,,1,k6 exited 107,1,no_metrics,3,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/analytics/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/analytics/http3/vus-10.log
analytics,http2,10,10s,1131.9875000000002,6786.1037499999975,,2194.4316304347826,9879.729,4.034944726520218,0,1,p95>=1000,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/analytics/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/analytics/http2/vus-10.log
analytics,http1,10,10s,314.662,1364.8119999999994,,435.36831506849313,2977.024,17.646694798237846,0,1,p95>=1000,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/analytics/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/analytics/http1/vus-10.log
media,http3,10,10s,,,,,,1,k6 exited 107,1,no_metrics,2,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/media/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/media/http3/vus-10.log
media,http2,10,10s,19.332,195.32999999999993,,46.029393333333324,476.268,14.920605963607052,0,0,,5,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/media/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/media/http2/vus-10.log
media,http1,10,10s,19.504,259.9569999999998,,65.80199999999996,936.718,14.935086771865066,0,0,,8,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/media/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/media/http1/vus-10.log
event-layer,http3,10,10s,,,,,,1,k6 exited 107,1,no_metrics,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/event-layer/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/event-layer/http3/vus-10.log
event-layer,http2,10,10s,26.570999999999998,224.43624999999997,,93.88836880466467,2865.552,64.40342757670274,0,0,,,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/event-layer/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115610/event-layer/http2/vus-10.log
