service,protocol,http_code,time_total_ms
auth,HTTP2,200,321
auth,HTTP3,200,104
listings,HTTP2,200,417
listings,HTTP3,200,55
booking,HTTP2,200,188
booking,HTTP3,200,63
messaging,HTTP2,200,63
messaging,HTTP3,200,97
notification,HTTP2,200,68
notification,HTTP3,200,71
trust,HTTP2,200,215
trust,HTTP3,200,74
analytics,HTTP2,200,137
analytics,HTTP3,200,198
media,HTTP2,504,27
media,HTTP3,504,28
gateway,HTTP2,200,14
gateway,HTTP3,200,20
