service,protocol,http_code,time_total_ms
auth,HTTP2,200,97
auth,HTTP3,200,80
listings,HTTP2,200,82
listings,HTTP3,200,49
booking,HTTP2,200,98
booking,HTTP3,200,56
messaging,HTTP2,200,42
messaging,HTTP3,200,48
notification,HTTP2,200,51
notification,HTTP3,200,35
trust,HTTP2,200,43
trust,HTTP3,200,69
analytics,HTTP2,200,816
analytics,HTTP3,200,114
media,HTTP2,200,55
media,HTTP3,200,56
gateway,HTTP2,200,19
gateway,HTTP3,200,24
