service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
trust,http3,10,60s,20.275,297.65674999999993,,70.12223893360148,2038.717,66.1638414406837,0.00025150905432595576,0,,11,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-10.log
trust,http3,20,60s,53.398,560.8570999999997,,145.34093982002244,4756.771,88.17452353357204,0.00018747656542932134,0,,20,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-20.log
trust,http3,30,60s,158.389,795.6199999999981,,278.0169234449758,4851.052,83.36165929056138,0,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-30.log
trust,http3,40,60s,191.875,914.1431999999998,,300.3489830936966,3167.259,104.59204870390141,0,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-40.log
trust,http3,50,60s,321.087,1606.5067999999987,,501.82389354275807,4749.618,85.5720439699926,0,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-50-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http3/vus-50.log
trust,http2,10,60s,32.986,310.9425,,87.41260291643306,2480.279,59.34309424611955,0,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http2/vus-10.log
trust,http2,20,60s,142.5205,999.1014499999998,,296.4424390320552,8453.591,52.893270190759196,0,0,,20,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http2/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http2/vus-20.log
trust,http2,30,60s,195.563,1296.7656999999995,,438.8602649402382,11963.721,57.637613657142346,0.0025611838360842347,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http2/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http2/vus-30.log
trust,http1,10,60s,2.177,203.46609999999978,,79.1125711241343,15003.17,62.47413830289752,0.6822056473095365,1,fail_rate>=0.01,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-155712/trust/http1/vus-10.log
