service,protocol,http_code,time_total_ms
auth,HTTP2,200,76
auth,HTTP3,200,39
listings,HTTP2,200,161
listings,HTTP3,200,38
booking,HTTP2,200,66
booking,HTTP3,200,44
messaging,HTTP2,200,48
messaging,HTTP3,200,63
notification,HTTP2,200,132
notification,HTTP3,200,33
trust,HTTP2,200,39
trust,HTTP3,200,36
analytics,HTTP2,200,53
analytics,HTTP3,200,64
media,HTTP2,200,31
media,HTTP3,200,44
gateway,HTTP2,200,10
gateway,HTTP3,200,23
