service,protocol,vus,duration,p50_waiting_ms,p95_waiting_ms,p99_waiting_ms,avg_waiting_ms,max_waiting_ms,rps,fail_rate,collapse,reason,pg_peak_connections,summary,log
trust,http3,10,60s,74.45949999999999,685.8138999999999,,169.55560678391947,3155.06,39.74657001082012,0,0,,12,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-10.log
trust,http3,20,60s,141.56,646.4213999999998,,239.87476609271434,4379.987,61.41154942526761,0.0005298013245033113,0,,20,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-20.log
trust,http3,30,60s,171.895,923.7300999999995,,274.50998759598303,4551.233,84.06108485174565,0.0005906674542232723,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-30.log
trust,http3,40,60s,407.828,1982.5971999999992,,784.8288208318519,13762.398,45.89595903293739,0.008176324209029506,1,p95>=1000,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-40-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http3/vus-40.log
trust,http2,10,60s,41.564,349.4288999999995,,104.526903056499,3283.483,53.84987628743225,0,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http2/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http2/vus-10.log
trust,http2,20,60s,130.66500000000002,703.6992499999994,,289.64049517593605,15002.216,53.91741788567742,0.004824063564131668,0,,19,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http2/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http2/vus-20.log
trust,http2,30,60s,303.437,1382.4326499999995,,473.8083131935879,6993.424,53.96027768384723,0,1,p95>=1000|rps_stall,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http2/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http2/vus-30.log
trust,http1,10,60s,32.4245,289.7776,,80.61126290322568,1532.881,61.91951288917912,0,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http1/vus-10-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http1/vus-10.log
trust,http1,20,60s,48.148,365.7025999999999,,106.29843003891088,3834.736,106.82364682828788,0.0001556420233463035,0,,20,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http1/vus-20-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http1/vus-20.log
trust,http1,30,60s,107.955,641.8777499999999,,190.94066516109623,1931.132,110.08323847451946,0,0,,21,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http1/vus-30-summary.json,/Users/tom/Off-Campus-Housing-Tracker/bench_logs/ceiling/20260326-115253/trust/http1/vus-30.log
